,__logger_started__,_checkpoint,_cmp_greater,_nonjson_fields,best_checkpoint_attr_value,best_result,checkpoint_at_end,checkpoint_freq,checkpoint_score_attr,config:dropout,config:hidden_size,config:l1_reg,config:l2_reg,config:num_layers,config:opt_batch_per_epoch,config:supervised_batch_size,config:target_rollouts_per_epoch,coverage,custom_trial_name,date,done,dropout,episodes_total,error_file,experiment_id,experiment_tag,export_formats,extra_arg,hidden_size,history,hostname,iterations_since_restore,keep_checkpoints_num,l1_reg,l2_reg,last_debug,last_update_time,local_dir,logdir,loggers,max_failures,node_ip,num_failures,num_layers,opt_batch_per_epoch,param_config,pid,resources:cpu,resources:extra_cpu,resources:extra_gpu,resources:gpu,result_logger,results,runner,status,supervised_batch_size,sync_function,target_rollouts_per_epoch,time_since_restore,time_this_iter_s,time_total_s,timestamp,timesteps_since_restore,timesteps_total,trainable_name,training_iteration,trial_id,upload_dir,verbose
0,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.25,15.0,1.9027728229630457e-05,0.7611105713270152,3.0,1219.0,120.0,146.0,0.0,,2019-07-09_00-07-55,True,0.25,,,ac2379f0f44944b9a915a71039fdb727,"1_dropout=0.25,hidden_size=15,l1_reg=1.9028e-05,l2_reg=0.76111,num_layers=3,opt_batch_per_epoch=1219,supervised_batch_size=120,target_rollouts_per_epoch=146",[],80049502000000000000004e2e,15,[],perceptron,1.0,,1.9027728229630457e-05,0.7611105713270152,1562656076.4145956,1562656076.4146035,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_1_dropout=0.25,hidden_size=15,l1_reg=1.9028e-05,l2_reg=0.76111,num_layers=3,opt_batch_per_epoch=1219,supervised_batc_2019-07-08_21-17-445pdhvlxu",80049502000000000000004e2e,3,169.229.222.188,0,3,1219,80049502000000000000004e2e,38491.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,120,80049502000000000000004e2e,146,10209.251336812973,10209.251336812973,10209.251336812973,1562656075.0,0.0,,perform_trial,1.0,80368004,,True
1,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,4.0,1.6233457108120916e-07,0.11600502797666787,3.0,288.0,125.0,46.0,0.0,,2019-07-09_00-10-25,True,0.5,,,bb0f1f4c84904f3b86a24d1069af4607,"2_dropout=0.5,hidden_size=4,l1_reg=1.6233e-07,l2_reg=0.11601,num_layers=3,opt_batch_per_epoch=288,supervised_batch_size=125,target_rollouts_per_epoch=46",[],80049502000000000000004e2e,4,[],perceptron,1.0,,1.6233457108120916e-07,0.11600502797666787,1562656226.838363,1562656226.8383658,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_2_dropout=0.5,hidden_size=4,l1_reg=1.6233e-07,l2_reg=0.11601,num_layers=3,opt_batch_per_epoch=288,supervised_batch_s_2019-07-08_21-17-455v5wmw3p",80049502000000000000004e2e,3,169.229.222.188,0,3,288,80049502000000000000004e2e,38495.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,125,80049502000000000000004e2e,46,10360.007854223251,10360.007854223251,10360.007854223251,1562656225.0,0.0,,perform_trial,1.0,80368005,,True
2,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,30.0,6.3265785215161785e-09,0.00027002373712315325,3.0,201.0,92.0,32.0,0.9803921568627451,,2019-07-09_00-08-27,True,0.1,,,6cbbbdb932e446a790a107ff38516fdb,"3_dropout=0.1,hidden_size=30,l1_reg=6.3266e-09,l2_reg=0.00027002,num_layers=3,opt_batch_per_epoch=201,supervised_batch_size=92,target_rollouts_per_epoch=32",[],80049502000000000000004e2e,30,[],perceptron,1.0,,6.3265785215161785e-09,0.00027002373712315325,1562656107.5310516,1562656107.5310545,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_3_dropout=0.1,hidden_size=30,l1_reg=6.3266e-09,l2_reg=0.00027002,num_layers=3,opt_batch_per_epoch=201,supervised_bat_2019-07-08_21-17-45hgibgxs_",80049502000000000000004e2e,3,169.229.222.188,0,3,201,80049502000000000000004e2e,38485.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,92,80049502000000000000004e2e,32,10241.367682695389,10241.367682695389,10241.367682695389,1562656107.0,0.0,,perform_trial,1.0,80368006,,True
3,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,11.0,0.005230530127912235,0.5006847531068191,2.0,1044.0,90.0,91.0,0.0,,2019-07-09_00-01-08,True,0.5,,,352b68891e3645d5b555ddedd855dff6,"4_dropout=0.5,hidden_size=11,l1_reg=0.0052305,l2_reg=0.50068,num_layers=2,opt_batch_per_epoch=1044,supervised_batch_size=90,target_rollouts_per_epoch=91",[],80049502000000000000004e2e,11,[],perceptron,1.0,,0.005230530127912235,0.5006847531068191,1562655670.0008361,1562655670.0008428,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_4_dropout=0.5,hidden_size=11,l1_reg=0.0052305,l2_reg=0.50068,num_layers=2,opt_batch_per_epoch=1044,supervised_batch__2019-07-08_21-17-451zun25mq",80049502000000000000004e2e,3,169.229.222.188,0,2,1044,80049502000000000000004e2e,38492.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,90,80049502000000000000004e2e,91,9802.96087527275,9802.96087527275,9802.96087527275,1562655668.0,0.0,,perform_trial,1.0,80368007,,True
4,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,14.0,3.732229714241475e-09,3.8593888905097676e-05,2.0,1505.0,100.0,55.0,0.8235294117647058,,2019-07-09_00-08-16,True,0.5,,,9ba2a717268048988266ab9254376708,"5_dropout=0.5,hidden_size=14,l1_reg=3.7322e-09,l2_reg=3.8594e-05,num_layers=2,opt_batch_per_epoch=1505,supervised_batch_size=100,target_rollouts_per_epoch=55",[],80049502000000000000004e2e,14,[],perceptron,1.0,,3.732229714241475e-09,3.8593888905097676e-05,1562656096.134018,1562656096.1340206,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_5_dropout=0.5,hidden_size=14,l1_reg=3.7322e-09,l2_reg=3.8594e-05,num_layers=2,opt_batch_per_epoch=1505,supervised_ba_2019-07-08_21-17-45m93ctx6o",80049502000000000000004e2e,3,169.229.222.188,0,2,1505,80049502000000000000004e2e,38509.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,100,80049502000000000000004e2e,55,10230.122234344482,10230.122234344482,10230.122234344482,1562656096.0,0.0,,perform_trial,1.0,80368008,,True
5,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,26.0,3.561480161222871e-08,0.0007320746515461532,3.0,709.0,68.0,10.0,0.0,,2019-07-09_02-40-01,True,0.5,,,834cb22d7e404497a77a082e12487d88,"6_dropout=0.5,hidden_size=26,l1_reg=3.5615e-08,l2_reg=0.00073207,num_layers=3,opt_batch_per_epoch=709,supervised_batch_size=68,target_rollouts_per_epoch=10",[],80049502000000000000004e2e,26,[],perceptron,1.0,,3.561480161222871e-08,0.0007320746515461532,1562665201.3417797,1562665201.3417873,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_6_dropout=0.5,hidden_size=26,l1_reg=3.5615e-08,l2_reg=0.00073207,num_layers=3,opt_batch_per_epoch=709,supervised_bat_2019-07-09_00-01-11dcxbrnyw",80049502000000000000004e2e,3,169.229.222.188,0,3,709,80049502000000000000004e2e,20903.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,68,80049502000000000000004e2e,10,9524.326213121414,9524.326213121414,9524.326213121414,1562665201.0,0.0,,perform_trial,1.0,80368009,,True
6,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,15.0,2.8538209108416262e-05,0.5911939832491093,1.0,1016.0,99.0,39.0,0.0,,2019-07-09_02-49-21,True,0.5,,,cf0d7fafb3c44f4faee8b0437b5c0467,"7_dropout=0.5,hidden_size=15,l1_reg=2.8538e-05,l2_reg=0.59119,num_layers=1,opt_batch_per_epoch=1016,supervised_batch_size=99,target_rollouts_per_epoch=39",[],80049502000000000000004e2e,15,[],perceptron,1.0,,2.8538209108416262e-05,0.5911939832491093,1562665761.949478,1562665761.9494798,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_7_dropout=0.5,hidden_size=15,l1_reg=2.8538e-05,l2_reg=0.59119,num_layers=1,opt_batch_per_epoch=1016,supervised_batch_2019-07-09_00-07-57gd74ynxj",80049502000000000000004e2e,3,169.229.222.188,0,1,1016,80049502000000000000004e2e,12641.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,99,80049502000000000000004e2e,39,9684.348007202148,9684.348007202148,9684.348007202148,1562665761.0,0.0,,perform_trial,1.0,55be10be,,True
7,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,26.0,1.8604063609150718e-09,1.0654834206108396e-05,1.0,606.0,73.0,129.0,0.2549019607843137,,2019-07-09_02-56-47,True,0.5,,,db974f3228164bf1a672d26cb4d80475,"8_dropout=0.5,hidden_size=26,l1_reg=1.8604e-09,l2_reg=1.0655e-05,num_layers=1,opt_batch_per_epoch=606,supervised_batch_size=73,target_rollouts_per_epoch=129",[],80049502000000000000004e2e,26,[],perceptron,1.0,,1.8604063609150718e-09,1.0654834206108396e-05,1562666208.0014591,1562666208.0014625,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_8_dropout=0.5,hidden_size=26,l1_reg=1.8604e-09,l2_reg=1.0655e-05,num_layers=1,opt_batch_per_epoch=606,supervised_bat_2019-07-09_00-08-16b5d4xq44",80049502000000000000004e2e,3,169.229.222.188,0,1,606,80049502000000000000004e2e,38502.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,73,80049502000000000000004e2e,129,10111.623236894608,10111.623236894608,10111.623236894608,1562666207.0,0.0,,perform_trial,1.0,477096ac,,True
8,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,7.0,0.01151622406314907,0.002963527165130846,1.0,1626.0,45.0,148.0,0.0,,2019-07-09_02-56-12,True,0.5,,,47ba507b724c4e4aa533c78a5f7df1c6,"9_dropout=0.5,hidden_size=7,l1_reg=0.011516,l2_reg=0.0029635,num_layers=1,opt_batch_per_epoch=1626,supervised_batch_size=45,target_rollouts_per_epoch=148",[],80049502000000000000004e2e,7,[],perceptron,1.0,,0.01151622406314907,0.002963527165130846,1562666172.8549397,1562666172.8549433,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_9_dropout=0.5,hidden_size=7,l1_reg=0.011516,l2_reg=0.0029635,num_layers=1,opt_batch_per_epoch=1626,supervised_batch__2019-07-09_00-08-276k7uf7cn",80049502000000000000004e2e,3,169.229.222.188,0,1,1626,80049502000000000000004e2e,38519.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,45,80049502000000000000004e2e,148,10064.639314889908,10064.639314889908,10064.639314889908,1562666172.0,0.0,,perform_trial,1.0,52b5ae26,,True
9,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.5,9.0,1.572053088603946e-05,0.20399108955893372,2.0,412.0,52.0,103.0,0.0,,2019-07-09_02-59-29,True,0.5,,,81b4384a4d6c40638cbfd7e70619512d,"10_dropout=0.5,hidden_size=9,l1_reg=1.5721e-05,l2_reg=0.20399,num_layers=2,opt_batch_per_epoch=412,supervised_batch_size=52,target_rollouts_per_epoch=103",[],80049502000000000000004e2e,9,[],perceptron,1.0,,1.572053088603946e-05,0.20399108955893372,1562666369.8785994,1562666369.8786137,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_10_dropout=0.5,hidden_size=9,l1_reg=1.5721e-05,l2_reg=0.20399,num_layers=2,opt_batch_per_epoch=412,supervised_batch__2019-07-09_00-10-27bhictplj",80049502000000000000004e2e,3,169.229.222.188,0,2,412,80049502000000000000004e2e,38515.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,52,80049502000000000000004e2e,103,10142.219488859177,10142.219488859177,10142.219488859177,1562666369.0,0.0,,perform_trial,1.0,5992d944,,True
10,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.25,,,,"11_dropout=0.25,hidden_size=29,l1_reg=0.00061171,l2_reg=0.0021485,num_layers=1,opt_batch_per_epoch=1715,supervised_batch_size=128,target_rollouts_per_epoch=26",[],80049502000000000000004e2e,29,[],,,,0.0006117077689294142,0.002148496929278417,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_11_dropout=0.25,hidden_size=29,l1_reg=0.00061171,l2_reg=0.0021485,num_layers=1,opt_batch_per_epoch=1715,supervised_b_2019-07-09_02-40-01jayrtdyy",80049502000000000000004e2e,3,,0,1,1715,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,128,80049502000000000000004e2e,26,,,,,,,perform_trial,,a0e378bc,,True
11,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"12_dropout=0,hidden_size=17,l1_reg=0.00077453,l2_reg=0.32732,num_layers=3,opt_batch_per_epoch=1529,supervised_batch_size=43,target_rollouts_per_epoch=96",[],80049502000000000000004e2e,17,[],,,,0.0007745337616767662,0.32731917981727,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_12_dropout=0,hidden_size=17,l1_reg=0.00077453,l2_reg=0.32732,num_layers=3,opt_batch_per_epoch=1529,supervised_batch__2019-07-09_02-40-063c273ipz",80049502000000000000004e2e,3,,0,3,1529,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,43,80049502000000000000004e2e,96,,,,,,,perform_trial,,85d7afa6,,True
12,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"13_dropout=0,hidden_size=25,l1_reg=7.1329e-07,l2_reg=0.0018954,num_layers=1,opt_batch_per_epoch=1844,supervised_batch_size=65,target_rollouts_per_epoch=34",[],80049502000000000000004e2e,25,[],,,,7.132886506149155e-07,0.0018954475467579568,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_13_dropout=0,hidden_size=25,l1_reg=7.1329e-07,l2_reg=0.0018954,num_layers=1,opt_batch_per_epoch=1844,supervised_batc_2019-07-09_02-40-12ss73byu0",80049502000000000000004e2e,3,,0,1,1844,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,65,80049502000000000000004e2e,34,,,,,,,perform_trial,,88c2c5b6,,True
13,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.25,,,,"14_dropout=0.25,hidden_size=31,l1_reg=0.0087829,l2_reg=0.00099597,num_layers=2,opt_batch_per_epoch=444,supervised_batch_size=37,target_rollouts_per_epoch=36",[],80049502000000000000004e2e,31,[],,,,0.008782896720749443,0.0009959682481168511,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_14_dropout=0.25,hidden_size=31,l1_reg=0.0087829,l2_reg=0.00099597,num_layers=2,opt_batch_per_epoch=444,supervised_ba_2019-07-09_02-40-16s5u4zcng",80049502000000000000004e2e,3,,0,2,444,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,37,80049502000000000000004e2e,36,,,,,,,perform_trial,,8c4b6d5a,,True
14,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.1,,,,"15_dropout=0.1,hidden_size=5,l1_reg=0.24277,l2_reg=5.1357e-05,num_layers=2,opt_batch_per_epoch=1604,supervised_batch_size=85,target_rollouts_per_epoch=71",[],80049502000000000000004e2e,5,[],,,,0.24277427261152004,5.135676863459781e-05,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_15_dropout=0.1,hidden_size=5,l1_reg=0.24277,l2_reg=5.1357e-05,num_layers=2,opt_batch_per_epoch=1604,supervised_batch_2019-07-09_02-40-21rcncytke",80049502000000000000004e2e,3,,0,2,1604,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,85,80049502000000000000004e2e,71,,,,,,,perform_trial,,8f19408e,,True
15,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.5,,,,"16_dropout=0.5,hidden_size=11,l1_reg=1.0725e-06,l2_reg=0.00012188,num_layers=1,opt_batch_per_epoch=1183,supervised_batch_size=125,target_rollouts_per_epoch=137",[],80049502000000000000004e2e,11,[],,,,1.0724696833505382e-06,0.00012187606823794864,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_16_dropout=0.5,hidden_size=11,l1_reg=1.0725e-06,l2_reg=0.00012188,num_layers=1,opt_batch_per_epoch=1183,supervised_b_2019-07-09_02-40-262rsoipul",80049502000000000000004e2e,3,,0,1,1183,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,125,80049502000000000000004e2e,137,,,,,,,perform_trial,,91d8d42e,,True
16,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"17_dropout=0,hidden_size=29,l1_reg=5.4183e-10,l2_reg=0.0024718,num_layers=1,opt_batch_per_epoch=1834,supervised_batch_size=126,target_rollouts_per_epoch=136",[],80049502000000000000004e2e,29,[],,,,5.418312687807281e-10,0.0024717936261695705,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_17_dropout=0,hidden_size=29,l1_reg=5.4183e-10,l2_reg=0.0024718,num_layers=1,opt_batch_per_epoch=1834,supervised_batc_2019-07-09_02-40-31o69cgk8r",80049502000000000000004e2e,3,,0,1,1834,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,126,80049502000000000000004e2e,136,,,,,,,perform_trial,,9506d95c,,True
17,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,27.0,0.6918912846963666,0.0009444998042819567,3.0,792.0,32.0,111.0,0.0,,2019-07-09_05-12-48,True,0.0,,,5c10a50e7168409a8e4e18ab8e07eea6,"18_dropout=0,hidden_size=27,l1_reg=0.69189,l2_reg=0.0009445,num_layers=3,opt_batch_per_epoch=792,supervised_batch_size=32,target_rollouts_per_epoch=111",[],80049502000000000000004e2e,27,[],perceptron,1.0,,0.6918912846963666,0.0009444998042819567,1562674368.695109,1562674368.6951218,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_18_dropout=0,hidden_size=27,l1_reg=0.69189,l2_reg=0.0009445,num_layers=3,opt_batch_per_epoch=792,supervised_batch_si_2019-07-09_02-40-37mef5rm6r",80049502000000000000004e2e,3,169.229.222.188,0,3,792,80049502000000000000004e2e,38490.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,32,80049502000000000000004e2e,111,9130.942413568497,9130.942413568497,9130.942413568497,1562674368.0,0.0,,perform_trial,1.0,9779a0fc,,True
18,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.0,17.0,4.640558861070911e-05,2.6817505031559576e-05,2.0,1085.0,86.0,64.0,0.803921568627451,,2019-07-09_05-36-05,True,0.0,,,e6c200bba68b4d33ad0e53a709ba504e,"19_dropout=0,hidden_size=17,l1_reg=4.6406e-05,l2_reg=2.6818e-05,num_layers=2,opt_batch_per_epoch=1085,supervised_batch_size=86,target_rollouts_per_epoch=64",[],80049502000000000000004e2e,17,[],perceptron,1.0,,4.640558861070911e-05,2.6817505031559576e-05,1562675765.1356533,1562675765.135656,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_19_dropout=0,hidden_size=17,l1_reg=4.6406e-05,l2_reg=2.6818e-05,num_layers=2,opt_batch_per_epoch=1085,supervised_bat_2019-07-09_02-49-22681rjv6t",80049502000000000000004e2e,3,169.229.222.188,0,2,1085,80049502000000000000004e2e,38506.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,86,80049502000000000000004e2e,64,10001.809940099716,10001.809940099716,10001.809940099716,1562675765.0,0.0,,perform_trial,1.0,9b575066,,True
19,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,0.1,6.0,0.03695096110213729,0.00029302442691832054,1.0,1735.0,59.0,128.0,0.0,,2019-07-09_05-32-41,True,0.1,,,c73b7bae4b594686824f263d13417cde,"20_dropout=0.1,hidden_size=6,l1_reg=0.036951,l2_reg=0.00029302,num_layers=1,opt_batch_per_epoch=1735,supervised_batch_size=59,target_rollouts_per_epoch=128",[],80049502000000000000004e2e,6,[],perceptron,1.0,,0.03695096110213729,0.00029302442691832054,1562675561.2144964,1562675561.2145052,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_20_dropout=0.1,hidden_size=6,l1_reg=0.036951,l2_reg=0.00029302,num_layers=1,opt_batch_per_epoch=1735,supervised_batc_2019-07-09_02-56-1258_2lwfa",80049502000000000000004e2e,3,169.229.222.188,0,1,1735,80049502000000000000004e2e,12693.0,0,0,0,0,,80049502000000000000004e2e,,TERMINATED,59,80049502000000000000004e2e,128,9388.15538930893,9388.15538930893,9388.15538930893,1562675561.0,0.0,,perform_trial,1.0,d3fbaa42,,True
20,False,80049553000000000000008c0e7261792e74756e652e747269616c948c0a436865636b706f696e749493942981947d94288c0773746f72616765948c046469736b948c0576616c7565944e8c0b6c6173745f726573756c74947d9475622e,True,"['_checkpoint', 'loggers', 'sync_function', 'results', 'best_result', 'param_config', 'extra_arg']",-inf,80049502000000000000004e2e,False,0,training_iteration,,,,,,,,,,,,,0.0,,,,"21_dropout=0,hidden_size=10,l1_reg=2.0487e-07,l2_reg=0.031558,num_layers=2,opt_batch_per_epoch=554,supervised_batch_size=35,target_rollouts_per_epoch=13",[],80049502000000000000004e2e,10,[],,,,2.0487058789900453e-07,0.03155834892996916,0.0,-inf,experiment-results/tune/perform_trial,"experiment-results/tune/perform_trial/perform_trial_21_dropout=0,hidden_size=10,l1_reg=2.0487e-07,l2_reg=0.031558,num_layers=2,opt_batch_per_epoch=554,supervised_batch__2019-07-09_02-56-485o_524q9",80049502000000000000004e2e,3,,0,2,554,80049502000000000000004e2e,,0,0,0,0,,80049502000000000000004e2e,,ERROR,35,80049502000000000000004e2e,13,,,,,,,perform_trial,,c8e432a4,,True
